membro;tipo;elemento;descricao;detalhe;
ATE735;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT225;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT761;Tipo de Acesso: ;Select
ATE736;Programa;ATE772;;  
ATE736;Programa;ATR740;;  
ATE736;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE736;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE736;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE736;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE737;Programa;ATE756;;  
ATE737;Programa;ATR770;;  
ATE737;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE737;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE738;Programa;;;  
ATE739;Programa;ATE754;;  
ATE739;Programa;ATE777;;  
ATE739;Programa;ATE778;;  
ATE739;Programa;ATE790;;  
ATE739;Programa;ATRG005;;  
ATE739;Programa;ATR740;;  
ATE739;Programa;ATR770;;  
ATE739;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE739;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE740;Programa;ATRG011;;  
ATE740;Programa;ATR740;;  
ATE740;Programa;ATR770;;  
ATE740;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE740;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT102;Tipo de Acesso: ;Insert
ATE741;Programa;ATRG012;;  
ATE741;Programa;ATR740;;  
ATE741;Programa;ATR770;;  
ATE741;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE741;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE741;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE741;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE741;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE741;Tabela;MPDT102;Tipo de Acesso: ;Insert
ATE742;Programa;ATE779;;  
ATE742;Programa;ATRG005;;  
ATE742;Programa;ATR740;;  
ATE742;Programa;ATR770;;  
ATE742;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE742;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE742;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE743;Programa;ATR770;;  
ATE743;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE743;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE743;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE743;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE743;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE743;Tabela;MPDT274;Tipo de Acesso: ;Select
ATE743;Tabela;MPDT276;Tipo de Acesso: ;Update
ATE743;Tabela;MPDT277;Tipo de Acesso: ;Update
ATE743;Tabela;MPDT291;Tipo de Acesso: ;Update
ATE744;Programa;ATRGP01;;  
ATE744;Programa;ATRG005;;  
ATE744;Programa;ATR007;;  
ATE744;Programa;ATR740;;  
ATE744;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE744;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE744;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT109;Tipo de Acesso: ;Update
ATE744;Tabela;MPDT160;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE744;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE757;Programa;ATE753;;  
ATE757;Programa;ATR007;;  
ATE757;Programa;ATR740;;  
ATE757;Programa;ATR770;;  
ATE757;Tabela;MPDT003;Tipo de Acesso: ;Update
ATE757;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE757;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT013;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT030;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT031;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT088;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT107;Tipo de Acesso: ;Update
ATE757;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT164;Tipo de Acesso: ;Update
ATE757;Tabela;MPDT300;Tipo de Acesso: ;Select
ATE757;Tabela;MPDT409;Tipo de Acesso: ;Select
ATE788;Programa;ATE753;;  
ATE788;Programa;ATR007;;  
ATE788;Programa;ATR740;;  
ATE788;Programa;ATR770;;  
ATE788;Programa;PCSPRO50;;  
ATE788;Tabela;MPDT003;Tipo de Acesso: ;Update
ATE788;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE788;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT013;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT030;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT031;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT088;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT107;Tipo de Acesso: ;Update
ATE788;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT164;Tipo de Acesso: ;Update
ATE788;Tabela;MPDT300;Tipo de Acesso: ;Select
ATE788;Tabela;MPDT409;Tipo de Acesso: ;Select
ATRYFE;programa;;;  
ATE753;Programa;ATR068;;  
ATE753;Tabela;MPDT198;Tipo de Acesso: ;Update
ATE754;Programa;ATE755;;  
ATE754;Programa;ATFRF03;;  
ATE754;Programa;ATRGP01;;  
ATE754;Programa;ATRG005;;  
ATE754;Programa;ATRG013;;  
ATE754;Programa;ATR007;;  
ATE754;Programa;ATR200;;  
ATE754;Tabela;MPDT001;TAbela MPDT001 ;Select
ATE754;Tabela;MPDT003;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT013;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT030;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT031;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT055;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT058;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT063;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT075;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT085;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT088;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT093;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT109;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT111;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT121;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT123;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT126;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT148;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT171;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT178;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT201;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT202;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT203;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT300;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT321;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT322;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT323;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT325;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT326;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT364;Tipo de Acesso: ;Update
ATE754;Tabela;MPDT414;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT416;Tipo de Acesso: ;Select
ATE754;Tabela;MPDT420;Tipo de Acesso: ;Select
ATE754;Tabela;PCSTBA46_LMTE_UNIFICADO_CLNTE;Tipo de Acesso: ;Select
ATE755;Programa;ATE758;;  
ATE755;Programa;ATE759;;  
ATE755;Programa;ATE760;;  
ATE755;Programa;ATE761;;  
ATE755;Programa;ATE762;;  
ATE755;Programa;ATE763;;  
ATE755;Programa;ATE764;;  
ATE755;Programa;ATE770;;  
ATE755;Programa;ATE775;;  
ATE755;Programa;ATE780;;  
ATE755;Programa;ATE781;;  
ATE755;Programa;ATRG013;;  
ATE755;Programa;ATR777;;  
ATE755;Tabela;MPDT001;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT004;Tabela de Autorizações ;Update
ATE755;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE755;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT055;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT066;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT121;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT123;Tipo de Acesso: ;Select
